C:\Users\ADMIN\Desktop\MB Mobile\EMWithFFmpeg\src\screens\VideoEditorScreen.tsx: line 307, col 34, Error - 'setShowLogoSelectionModal' is assigned a value but never used. Allowed unused elements of array destructuring patterns must match /^_/u. (@typescript-eslint/no-unused-vars)
C:\Users\ADMIN\Desktop\MB Mobile\EMWithFFmpeg\src\screens\VideoEditorScreen.tsx: line 318, col 10, Error - 'currentTime' is assigned a value but never used. Allowed unused elements of array destructuring patterns must match /^_/u. (@typescript-eslint/no-unused-vars)
C:\Users\ADMIN\Desktop\MB Mobile\EMWithFFmpeg\src\screens\VideoEditorScreen.tsx: line 319, col 10, Error - 'isCapturing' is assigned a value but never used. Allowed unused elements of array destructuring patterns must match /^_/u. (@typescript-eslint/no-unused-vars)
C:\Users\ADMIN\Desktop\MB Mobile\EMWithFFmpeg\src\screens\VideoEditorScreen.tsx: line 322, col 10, Error - 'showCloudComposer' is assigned a value but never used. Allowed unused elements of array destructuring patterns must match /^_/u. (@typescript-eslint/no-unused-vars)
C:\Users\ADMIN\Desktop\MB Mobile\EMWithFFmpeg\src\screens\VideoEditorScreen.tsx: line 322, col 29, Error - 'setShowCloudComposer' is assigned a value but never used. Allowed unused elements of array destructuring patterns must match /^_/u. (@typescript-eslint/no-unused-vars)
C:\Users\ADMIN\Desktop\MB Mobile\EMWithFFmpeg\src\screens\VideoEditorScreen.tsx: line 324, col 10, Error - 'generatedVideoPath' is assigned a value but never used. Allowed unused elements of array destructuring patterns must match /^_/u. (@typescript-eslint/no-unused-vars)
C:\Users\ADMIN\Desktop\MB Mobile\EMWithFFmpeg\src\screens\VideoEditorScreen.tsx: line 325, col 10, Error - 'isGeneratingVideo' is assigned a value but never used. Allowed unused elements of array destructuring patterns must match /^_/u. (@typescript-eslint/no-unused-vars)
C:\Users\ADMIN\Desktop\MB Mobile\EMWithFFmpeg\src\screens\VideoEditorScreen.tsx: line 325, col 29, Error - 'setIsGeneratingVideo' is assigned a value but never used. Allowed unused elements of array destructuring patterns must match /^_/u. (@typescript-eslint/no-unused-vars)
C:\Users\ADMIN\Desktop\MB Mobile\EMWithFFmpeg\src\screens\VideoEditorScreen.tsx: line 330, col 10, Error - 'availableVideos' is assigned a value but never used. Allowed unused elements of array destructuring patterns must match /^_/u. (@typescript-eslint/no-unused-vars)
C:\Users\ADMIN\Desktop\MB Mobile\EMWithFFmpeg\src\screens\VideoEditorScreen.tsx: line 356, col 10, Error - 'originalLayers' is assigned a value but never used. Allowed unused elements of array destructuring patterns must match /^_/u. (@typescript-eslint/no-unused-vars)
C:\Users\ADMIN\Desktop\MB Mobile\EMWithFFmpeg\src\screens\VideoEditorScreen.tsx: line 356, col 26, Error - 'setOriginalLayers' is assigned a value but never used. Allowed unused elements of array destructuring patterns must match /^_/u. (@typescript-eslint/no-unused-vars)
C:\Users\ADMIN\Desktop\MB Mobile\EMWithFFmpeg\src\screens\VideoEditorScreen.tsx: line 357, col 10, Error - 'originalTemplate' is assigned a value but never used. Allowed unused elements of array destructuring patterns must match /^_/u. (@typescript-eslint/no-unused-vars)
C:\Users\ADMIN\Desktop\MB Mobile\EMWithFFmpeg\src\screens\VideoEditorScreen.tsx: line 357, col 28, Error - 'setOriginalTemplate' is assigned a value but never used. Allowed unused elements of array destructuring patterns must match /^_/u. (@typescript-eslint/no-unused-vars)
C:\Users\ADMIN\Desktop\MB Mobile\EMWithFFmpeg\src\screens\VideoEditorScreen.tsx: line 718, col 11, Warning - 'scale' is already declared in the upper scope on line 59 column 7. (@typescript-eslint/no-shadow)
C:\Users\ADMIN\Desktop\MB Mobile\EMWithFFmpeg\src\screens\VideoEditorScreen.tsx: line 720, col 6, Error - React Hook useCallback has an unnecessary dependency: 'screenWidth'. Either exclude it or remove the dependency array. Outer scope values like 'screenWidth' aren't valid dependencies because mutating them doesn't re-render the component. (react-hooks/exhaustive-deps)
C:\Users\ADMIN\Desktop\MB Mobile\EMWithFFmpeg\src\screens\VideoEditorScreen.tsx: line 984, col 6, Error - React Hook useEffect has missing dependencies: 'businessProfiles.length' and 'fetchBusinessProfiles'. Either include them or remove the dependency array. (react-hooks/exhaustive-deps)
C:\Users\ADMIN\Desktop\MB Mobile\EMWithFFmpeg\src\screens\VideoEditorScreen.tsx: line 1004, col 6, Error - React Hook useEffect has a missing dependency: 'currentVideoFromAssets'. Either include it or remove the dependency array. (react-hooks/exhaustive-deps)
C:\Users\ADMIN\Desktop\MB Mobile\EMWithFFmpeg\src\screens\VideoEditorScreen.tsx: line 1025, col 6, Error - React Hook useEffect has a missing dependency: 'applyTemplate'. Either include it or remove the dependency array. (react-hooks/exhaustive-deps)
C:\Users\ADMIN\Desktop\MB Mobile\EMWithFFmpeg\src\screens\VideoEditorScreen.tsx: line 1033, col 6, Error - React Hook useEffect has a missing dependency: 'applyTemplate'. Either include it or remove the dependency array. (react-hooks/exhaustive-deps)
C:\Users\ADMIN\Desktop\MB Mobile\EMWithFFmpeg\src\screens\VideoEditorScreen.tsx: line 1050, col 9, Error - 'handleVideoGenerated' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
C:\Users\ADMIN\Desktop\MB Mobile\EMWithFFmpeg\src\screens\VideoEditorScreen.tsx: line 1091, col 9, Error - 'copyAssetToLocalFile' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
C:\Users\ADMIN\Desktop\MB Mobile\EMWithFFmpeg\src\screens\VideoEditorScreen.tsx: line 1185, col 9, Error - 'handleGenerateVideo' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
C:\Users\ADMIN\Desktop\MB Mobile\EMWithFFmpeg\src\screens\VideoEditorScreen.tsx: line 1291, col 6, Error - React Hook useCallback has a missing dependency: 'getCurrentVideoUri'. Either include it or remove the dependency array. (react-hooks/exhaustive-deps)
C:\Users\ADMIN\Desktop\MB Mobile\EMWithFFmpeg\src\screens\VideoEditorScreen.tsx: line 1294, col 9, Error - 'handleCloudProcessing' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
C:\Users\ADMIN\Desktop\MB Mobile\EMWithFFmpeg\src\screens\VideoEditorScreen.tsx: line 1405, col 19, Error - 'fontWeight' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
C:\Users\ADMIN\Desktop\MB Mobile\EMWithFFmpeg\src\screens\VideoEditorScreen.tsx: line 1509, col 6, Error - React Hook useCallback has a missing dependency: 'currentLanguage'. Either include it or remove the dependency array. (react-hooks/exhaustive-deps)
